Bantam,1601,6,3,0,2,0,0
Malacca Strait,1606,14,11,0,1.273,0,0
Ilha das Naus,1606,6,9,0,0.667,0,-1
Pulo Butum,1606,7,9,0,0.778,0,1
Surrat,1615,6,0,4,1.5,0,0
Ilha das Naus,1615,3,5,0,0.6,0,-1
Jask,1620,4,0,4,1,0,0
Hormuz,1622,6,0,5,1.2,0,-1
Mogincoal Shoals,1622,4,4,2,0.667,0,-1
Hormuz,1625,8,4,4,1,0,0
Goa,1636,6,4,0,1.5,0,0
Goa,1637,6,7,0,0.857,0,0
Goa,1638,6,8,0,0.75,0,1
Colombo,1654,5,3,0,1.667,0,1
Goa,1658,9,9,0,1,0,0
Invincible Armada,1588,69,0,31,2.226,1,-1
Bahia,1624,4,13,0,0.308,1,-1
Bahia,1625,35,20,0,1.75,1,1
Bahia,1627,4,10,0,0.4,1,-1
Recife,1630,9,60,0,0.15,1,-1
Abrolhos,1631,17,16,0,1.063,1,0
Bahia,1636,2,8,0,0.25,1,0
Dunas,1639,51,11,0,4.636,1,0
Dunas,1639,38,110,0,0.345,1,-1
Paraiba,1640,16,30,0,0.533,1,0
Tamandare,1645,6,7,0,0.857,1,-1
Recife,1653,14,5,0,2.8,1,1
Lisbon,1657,7,10,0,0.7,1,0
